# ABLATION ANALYSIS - METHODOLOGY
# This file contains ablation analysis results showing how different parameter values affect performance
# 
# Analysis Details:
# - Parameter analyzed: lambda_repulsion
# - Method: Statistical analysis across multiple seeds and prompts
# - Metrics calculated: Mean, standard deviation, min, max, coefficient of variation
# - Grouping: By lambda_repulsion parameter value
# - Total parameter combinations: 20
# 
# Each row represents the aggregated performance for a specific parameter value
# Statistics are calculated across all seeds and prompts for that parameter value
#
# Generated by: ablation_analysis.py
# Date: 2025-09-18 16:50:41
#
experiment,lambda_repulsion,n_runs,prompt,fidelity_mean_mean,fidelity_mean_std,fidelity_mean_min,fidelity_mean_max,fidelity_mean_cv,fidelity_std_mean,fidelity_std_std,diversity_mean_mean,diversity_mean_std,diversity_mean_min,diversity_mean_max,diversity_mean_cv,diversity_std_mean,diversity_std_std,cross_consistency_mean_mean,cross_consistency_mean_std,cross_consistency_mean_min,cross_consistency_mean_max,cross_consistency_mean_cv,cross_consistency_std_mean,cross_consistency_std_std
exp3_lambda_fine,1000.0,4,a photo of an ice cream,0.41603486239910126,0.0014414912077253057,0.4144813120365143,0.4178006649017334,0.003464832729192023,0.00560648727696385,0.0009790869044249174,0.3253724202513695,0.022552690005101714,0.3053912222385406,0.3478967249393463,0.06931346543655552,0.014622576301917375,0.004445623186553288,0.8042688220739365,0.007992040559019925,0.7975381016731262,0.8140585422515869,0.009937026451443391,0.02392308367416255,0.006582030685538871
exp3_lambda_fine,1000.0,4,a small saguaro cactus planted in a clay pot,0.37915724515914917,0.0029993444511848817,0.374929666519165,0.3819908797740936,0.007910555553081738,0.008092590374872026,0.0014420590321813163,0.2349220104515552,0.007328688137521502,0.2254287898540496,0.243125706911087,0.031196260084079257,0.014156430959701476,0.005139740637963575,0.8668423444032669,0.007206035007032936,0.8602070808410645,0.8760664463043213,0.008312970695949978,0.014910191763192374,0.0027373829890978865
exp3_lambda_fine,1200.0,4,a bulldozer made out of toy bricks,0.369124598801136,0.004433467787136753,0.3654962182044983,0.3754926025867462,0.012010762223747817,0.022103147581219625,0.005589163643423276,0.2768299877643585,0.011660751395677368,0.263812780380249,0.2904641330242157,0.04212242860626487,0.014433089876547425,0.0037728690994809832,0.8058988153934479,0.0023686506477285747,0.8037238121032715,0.8091863393783569,0.002939141493305429,0.020538879558443975,0.005211473320806026
exp3_lambda_fine,1200.0,4,a photo of a tulip,0.38250477612018585,0.002459454968523058,0.378992885351181,0.3847406506538391,0.0064298673430165975,0.008749154629185749,0.0007774175432267892,0.24289784952998156,0.020287933735464725,0.2183499187231063,0.2671456933021545,0.08352455064844257,0.014433602103963473,0.0018428888710472016,0.8529284298419952,0.005994388731948098,0.8461943864822388,0.8601504564285278,0.007028009059398521,0.018693255726247974,0.00538134184419625
exp3_lambda_fine,1200.0,4,a photo of an ice cream,0.41488321870565414,0.0031418258970801263,0.411412626504898,0.4175682663917541,0.007572795802351185,0.004593763500451976,0.0010169454399255639,0.3179090619087219,0.019769876640097286,0.3009882271289825,0.3464976549148559,0.062187207000011895,0.015132056782022073,0.0012132389038332218,0.8005838692188263,0.014351366797547237,0.7831637859344482,0.8168025016784668,0.017926125355923864,0.030700972303748048,0.007231623418118618
exp3_lambda_fine,1200.0,4,a small saguaro cactus planted in a clay pot,0.3780837506055832,0.002098220070456966,0.3750768601894378,0.3799527883529663,0.005549617160473601,0.00916201295331115,0.002735519404420692,0.2524060942232609,0.011469753555056668,0.2355164438486099,0.2598005533218384,0.04544166649522861,0.01588044827803965,0.003089488316271275,0.872270330786705,0.0062730222544268,0.866295576095581,0.8800521492958069,0.007191603374574404,0.01698053511790925,0.0040441071730277995
exp3_lambda_fine,1400.0,4,a bulldozer made out of toy bricks,0.36429718136787415,0.012524518636503173,0.3469272553920746,0.3768352270126343,0.03437994933003799,0.0279859905131161,0.004192941867517073,0.2842647135257721,0.012221267540407558,0.2717890739440918,0.2957405149936676,0.04299255925515901,0.011674245120957426,0.004609804468476306,0.805007666349411,0.006281752964149315,0.7978012561798096,0.8127319812774658,0.007803345516740384,0.021863219793885873,0.009559792981708934
exp3_lambda_fine,1400.0,4,a photo of a tulip,0.38337522000074387,0.0021819883108128613,0.3815166652202606,0.386234849691391,0.005691521509420008,0.008943282999098225,0.002379031836587109,0.25085577741265297,0.018538532750904245,0.2339266985654831,0.2725797295570373,0.07390115923225764,0.014541328884661149,0.004596861504176201,0.8473719507455826,0.007114971002263282,0.8397719860076904,0.8565981388092041,0.008396514654518582,0.020087571348994922,0.003222377680709419
exp3_lambda_fine,1400.0,4,a photo of an ice cream,0.4113699868321419,0.0018969031502751017,0.409356951713562,0.4138118028640747,0.004611185091267065,0.006685636937618175,0.0022271443209240316,0.35211289674043655,0.010762471205757327,0.3402127921581268,0.3655627369880676,0.030565399067705796,0.020445476286113224,0.0046322320194849345,0.7938957959413528,0.010471164824847225,0.779914379119873,0.8048406839370728,0.013189596012951752,0.030796939041465476,0.007748096694460269
exp3_lambda_fine,1400.0,4,a small saguaro cactus planted in a clay pot,0.37658026814460754,0.0037790626841545908,0.3735530376434326,0.3815347254276275,0.010035211623736546,0.00831984728574745,0.0022564101198831632,0.25767600536346436,0.016788192721396505,0.2352643311023712,0.2758105993270874,0.06515233227756677,0.014890344347804726,0.0020429017390652727,0.8661110103130341,0.005964290388886892,0.8610246777534485,0.8731526732444763,0.006886288614124937,0.015100207179784726,0.004325881905765745
